county_name,issue_type,severity,observed_value,details
union,null_rate::delinquent_year,warning,1.0,Matched parcel null rate for delinquent_year.
walthall,suspiciously_low_match_count,warning,3.0,"County source loaded, but matched parcel count is unusually low for county size."
walthall,null_rate::delinquent_year,warning,1.0,Matched parcel null rate for delinquent_year.
warren,null_rate::delinquent_year,warning,1.0,Matched parcel null rate for delinquent_year.
washington,null_rate::delinquent_year,warning,1.0,Matched parcel null rate for delinquent_year.
wayne,suspiciously_low_match_count,warning,3.0,"County source loaded, but matched parcel count is unusually low for county size."
wayne,null_rate::delinquent_year,warning,1.0,Matched parcel null rate for delinquent_year.
webster,suspiciously_low_match_count,warning,4.0,"County source loaded, but matched parcel count is unusually low for county size."
webster,null_rate::delinquent_year,warning,1.0,Matched parcel null rate for delinquent_year.
wilkinson,null_rate::delinquent_year,warning,1.0,Matched parcel null rate for delinquent_year.
winston,null_rate::delinquent_year,warning,1.0,Matched parcel null rate for delinquent_year.
yazoo,null_rate::delinquent_year,warning,1.0,Matched parcel null rate for delinquent_year.
